
ID,Artista,Tag1,Tag2,Tag3,Tag4,Tag5,Tag6,Tag7,Tag8,Tag9,Tag10
876,The Sisters of Mercy,gothic rock,gothic,80s,post-punk,goth,goth rock,alternative,british,b-side,new wave and eighties
877,Chainsaw Disaster,deathcore,brutal deathcore,brutal deathgrind,death,death metal,death metalcore,grindcore,hardcore,progressive,progressivo
878,The Devil Wears Prada,metalcore,screamo,hardcore,christian,christian metalcore,death metal,death metalcore,deathcore,fromhell,melodic metal
879,CéU,brazilian,female vocalists,mpb,aana,brasil,chillout,descoperiri,favorite bands and artists,lovely,new brazilian artist
880,Joss Stone,soul,female vocalists,jazz,rnb,pop,love,rock,female,female vocalist,british
881,Paris Hilton,pop,dance,female vocalists,guilty pleasure,<3,sexy,female vocalist,brutal death metal,indie,legend
882,Panik,rock,alternative,nu metal,punk rock,00s,2008,alternative rock,german,germany,male vocalists
883,Skye Sweetnam,pop,female vocalists,rock,canadian,pop rock,awesome,dance,great memories with my geeem,i am canadian,nice
884,Holly Valance,pop,<3,amazing,australian,dance,electro,female vocalist,female vocalists,neighbours,pop covers
885,Samantha Mumba,awesome,because sometimes i feel like a 13-year-old teenie bopper,childhood memories,dance,disney,good mood music,good mood songs,guilty pleasures,happy,love songs
886,Eve,hip-hop,rap,dance,female vocalists,rnb,2008,r and b,trance,top 40,sexy
887,Christina Milian,rnb,female vocalists,amazing,pop,hip-hop,great dancers,romantic,pop princess,jet set radio future,hooooooooot
888,The Cheetah Girls,disney,female vocalists,celebrities who one day im determined to meet,disney girl,holiday soundtrack,love at first listen,my childhood,party time,pop,stand out be proud
889,Anastacia,female vocalists,soul,pop,dance,singer-songwriter,rock,rnb,pop rock,90s,powerful voice
890,Shayne Ward,pop,rnb,gay,jet set radio future,mellow,pop covers,redone,seen live,specials to 3mmey,the x factor 2
891,Jamelia,pop,rnb,female vocalists,amazing,bewareofthedog,british,cover,fav song,faves,female
892,Lykke Li,electronic,pop,female vocalists,alternative,indie pop,swedish,love at first listen,house,mellow,indie
893,Jurassic 5,hip-hop,cool,egzamin,favorite,funky,good shit,hiphop,nice,phat,rap
894,Jay-Z,hip-hop,rap,hip hop,rnb,jay-z,00s,classic,gossip girl,cool,smooth
895,OutKast,hip-hop,rap,hip hop,funk,soul,cool,rnb,lol,male vocalists,mellow
896,Metric,indie rock,indie,female vocalists,rock,canadian,indie pop,alternative,electronic,seen live,fun
897,Fleet Foxes,folk,indie,indie folk,folk rock,indie rock,mellow,love at first listen,indie luv,indie pop,00s
898,Jedi Mind Tricks,hip-hop,underground,assertive,rap,trash,tight,sxsw2006,sweet,superb,solid
899,Jimi Hendrix,classic rock,blues,psychedelic,rock,psychedelic rock,60s,hard rock,guitar,blues rock,guitar virtuoso
900,GZA/Genius,hip-hop,rap,awesome,wu fam,tight,the good stuff,superb,solid,sick,real talk
901,The Game,hip-hop,rap,gangsta rap,west coast,bubba sparxxx,california,catchy,classic,good shit,hip hop
902,Dave Matthews Band,rock,90s,acoustic,alternative,alternative rock,1996,jam,seen live,sad,my fav songs
903,Rancid,punk,ska,punk rock,rock,ska punk,alternative,favorites,alternative rock,american,awesome
904,Anti-Flag,punk,punk rock,alternative rock,devrim,first-rate and free,fucking sexy,lol,me likey,political,punk/rock
905,The Wallflowers,alternative rock,rock,90s,alternative,classic rock,indie,1996,life,pop rock,pop
906,Motel,alternative,brutal death metal,cocksucker,gay,hoy tengo ganas de llorar,inlove,pop,remember him,rock me babe,seen live
907,Blind Melon,90s,rock,grunge,alternative,alternative rock,mellow,toes,the,rumpelmusike,ohmydamn
908,Those Dancing Days,indie pop,female vocalists,swedish,00s,cute,dance,electronic,indie,indie rock,mine
909,Avenged Sevenfold,metalcore,hard rock,metal,hardcore,rock,heavy metal,a7x,screamo,alternative metal,avenged sevenfold
910,Tokio Hotel,rock,pop rock,alternative,pop,emo,german,alternative rock,pop punk,punk,<3
911,The Medic Droid,electronic,electronica,dance,alternative,electropop,fuckmeinthebackseat,male vocalist,powerpop,scene,seen live
912,BrokeNCYDE,screamo,<3,awesomesauce,these guys fucking rule,screamo crunkcore shit,hip hopcore,hip hop screamo electronic,garbage,fromhell,epic
913,Stephen Jerzak,acoustic,pop,powerpop,singer-songwriter,addictive,catchy,cute,duet,electronic,fun
914,The Ready Set,cute,electronic,male vocalists,powerpop,<3,awesomesauce,catchy,christmas,dance,epic
915,Charlie Brown Jr.,rock,brazilian,00s,alternative,cbjr,pop,pop rock,porque te vas,punk,riot boii
916,Bratz,awesome,dance,female vocalists,girlband,love at first listen,my childhood,oversized heads,pop,rock,soundrack of my life
917,Jennette McCurdy,country,female vocalists,amazing,never gets old,teen pop,one of my favorites,one of her best songs,nickelodeon,nick,icarly
918,Aly & AJ,disney,pop,pop rock,female vocalists,amazing,american,rock,aly and aj,awesome,aly
919,Weird Al Yankovic,comedy,funny,1990's,parody,marathon,marisa mix,my day sucks,never gets old,nineties,novelty
920,Liz Phair,female vocalists,indie,alternative rock,rock,pop,songs for gil,singer-songwriter,love at first listen,indie rock,00s
921,Bowling for Soup,punk rock,pop punk,rock,punk,00s,not emo,supreme,soundtrack,pop-punk,pop rock
922,Dolly Parton,country,female vocalists,singer-songwriter,1981,sad,new country,musicteam motivational,love,legend,girl power
923,Clint Mansell,instrumental,soundtrack,ambient,classical,electronic,epic,beautiful,electronica,experimental,sad
924,Puscifer,alternative,progressive rock,alternative rock,industrial,rock,addictive,beautiful,electronica,experimental,hypnotic
925,The Cult,80s,hard rock,as,tags,british,rock,gothic,personal,music for tossing furniture around,my face is completely rocked off
926,Unheilig,german,darkwave,gothic,industrial,male vocalist,pop,new wave,ndh,music for tossing furniture around,male vocalists
927,Hans Zimmer,soundtrack,instrumental,classical,composer,jean marc toma,soundtracks,so beautiful i could seriously cry,pure aural bliss,pirates of the caribbean,pagan
928,Dead Can Dance,gothic,ambient,ethereal,darkwave,goth,dream pop,ezbeni,winds of soul,slowies,relaxing music
929,Philip Glass,classical,ambient,soundtrack,experimental,minimalism,piano,classic,contemporary classical,instrumental,minimal
930,Brian Eno,ambient,experimental,alternative,electronic,electronica,british,soundtrack,glam rock,70s,beautiful
931,Therion,symphonic metal,metal,gothic metal,heavy metal,progressive metal,neoclassical,swedish,soundtrack of my dreams,seen live,scholes song
932,Eisbrecher,industrial,german,industrial metal,addictive,ebm,metal,my fav fun,rock,sexy,the beowulfs choice
933,Dave Gahan,electronic,alternative,synthpop,new wave,rock,british,depeche mode,dave gahan,synth pop,00s
934,Oomph!,industrial metal,german,industrial,metal,rock,00s,as,boa,boa musica,industrial rock
935,Ani DiFranco,acoustic,female vocalists,folk,indie,singer-songwriter,alternative,female vocals,first-rate and free,jack johnson,jazz
936,Craig Armstrong,instrumental,soundtrack,piano,chillout,electronic,electronica,perfection,hypnotic,slowies,six feet under soundtrack
937,Hammock,ambient,post-rock,shoegaze,instrumental,atmospheric,beautiful,chillout,dream pop,dreamy,drone
938,Joanna Newsom,folk,female vocalists,singer-songwriter,seen live,indie folk,new weird america,experimental,indie,freak folk,indie rock
939,Balmorhea,ambient,instrumental,piano,dreamy,icelandic,melancholic,music for my soul,post rock,post-rock,soft music
940,Do Make Say Think,post-rock,instrumental,art rock,avant-garde,coisa de deus,constellation records,experimental,indie,post modern,post rock
941,Soulwax,electronic,electro,electronica,00s,alternative,bastardpop,crime,dance,electro rock,indie
942,Ludovico Einaudi,classical,instrumental,piano,ambient,new age,italian,neoclassical,motiv,minimalism,for work
943,Apparat,idm,ambient,experimental,electronic,electronica,techno,electro,glitch,sleep music,sad
944,Ólafur Arnalds,ambient,instrumental,icelandic,classical,piano,abstract,refexion,post-rock,post modern,neo-classic
945,Ellen Allien,electronic,minimal,techno,electro,electronica,ambient,dance,dark disco,experimental,idm
946,Chico Buarque,mpb,bossa nova,brazilian,singer-songwriter,brasil,brazil,60s,male vocalists,samba,90s
947,Renato Russo,rock,80s,acoustic,aumenta o volume,ballad,love,pop,songs that i love,soundtrack,soundtracks
948,Caetano Veloso,mpb,brazilian,bossa nova,brasil,singer-songwriter,brazil,male vocalists,70s,jazz,samba
949,Little Joy,folk,alternative,brazilian,acoustic,lovely,sweet,songs i absolutely love,singer-songwriter,rock,relaxing
950,Carla Bruni,female vocalists,singer-songwriter,french,chanson francaise,chanson,acoustic,mellow,memories,nostalgic,<3
951,Pato Fu,brazilian,alternative,rock,female vocalists,seen live,pop,alternative rock,brasil,brazil,mpb
952,Erik Satie,classical,piano,contemporary classical,anti-folk,avant-garde,bark,barkbarkdisco,france,french,minimal
953,Rita Lee,brazilian,mpb,rock,female vocalists,brasil,amazing voice,better than lady gaga,brazil,brazilian music,legend
954,Norah Jones,jazz,female vocalists,blues,singer-songwriter,pop,chillout,piano,soul,norah jones,folk
955,Emilie Simon,french,trip-hop,electronic,electronica,experimental,female vocalists,light trip-hop,quirky,post modern,oui fm
956,Esbjörn Svensson Trio,jazz,piano,abstract,contemporary jazz,favorite,favorite artist,first-rate and free,for work,instrumental,nu-jazz
957,UNKLE,trip-hop,electronic,downtempo,electronica,alternative,aana,post-rock,meditative,mellow,new wave
958,Агата Кристи,post-punk,russian,russian rock,seen live,alternative,gluhie 90e,gothic rock,proto-punk,rock,russia
959,Archive,trip-hop,alternative,electronic,downtempo,chillout,ambient,british,progressive rock,rock,relaxing
960,Schiller,ambient,chillout,trance,electronic,relax,pop,mellow,instrumental,german,electronica
961,Sting,rock,singer-songwriter,pop,british,classic rock,jazz,mellow,chillout,male vocalists,90s
962,Guano Apes,alternative rock,rock,alternative,female vocalists,german,hard rock,metal,00s,jao bejbe,seen live
963,Umaturman,russian,eastern europe rock,indie-romantic,pop,pop-rock,rock,rock-pop,romantic rock,russian pop,russian rock
964,Indochine,new wave,80s,1982 songs,1983 songs,1985 songs,alternative,countries,dreamy,erotic,famous persons
965,Amethystium,chillout,ambient,ethereal,new age,electronic,electronica,melancholy,sad,relax,mythos
966,Nightmares on Wax,trip-hop,chillout,downtempo,lounge,electronica,acid jazz,soul,instrumental,dub,british
967,Mötley Crüe,hard rock,80s,hair metal,heavy metal,rock,glam metal,glam rock,metal,seen live,1980s
968,T. Rex,glam rock,70s,british,classic rock,glam,rock,proto-punk,soundtrack,slutty,scott pilgrim
969,Syd Barrett,psychedelic,psychedelic rock,singer-songwriter,70s,british,classic rock,60s,a floyd,a god on the earth,albums i own
970,The Runaways,hard rock,70s,punk,female vocalists,proto-punk,classic rock,rock,riot grrrl,punk rock,girl power
971,Stryper,christian metal,hard rock,heavy metal,80s,christian,glam metal,hair metal,1986,female vocalists,pop
972,Def Leppard,hard rock,80s,rock,classic rock,hair metal,nwobhm,heavy metal,glam metal,90s,hard
973,Patti Smith,punk,rock,proto-punk,female vocalists,70s,singer-songwriter,seen live,legends,patti smith,new york punk
974,The Black Crowes,rock,90s,hard rock,southern rock,classic rock,blues rock,1990,1992,best songs of the 90s,fave
975,Sex Pistols,punk,punk rock,british,70s,rock,classic rock,uk,favorite,favorite songs,favorite tracks
976,L7,female vocalists,grunge,riot grrrl,90s,alternative rock,as,female vocals,first-rate and free,melhor banda feminina,ohmydamn
977,Donna Summer,70s,disco,pop,female vocalists,electronic,80s,dance,ballad,soul,90s
978,Luther Vandross,soul,rnb,80s,luther vandross,american,club classics,mellow,other great tracks,pop,quiet storm
979,Zero 7,chillout,downtempo,trip-hop,electronic,female vocalists,electronica,alternative,ambient,indie,indie rock
980,The Jacksons,pop,soul,disco,funk,70s,rnb,60s,singer-songwriter,seventies,remix
981,Isaac Hayes,funk,soul,70s,80s,cool,instrumental,oscar winning songs,rhythm and blues,rnb,songs for gil
982,808 State,electronic,electronica,808 state,acid,acid house,drum and bass,geography,house,idm,manchester
983,Chaka Khan,female vocalists,soul,80s,american,best,classic,club classics,cover,crazy,disco
984,Quincy Jones,funk,bossa nova,jazz,pop,soul,70s jazz,chillout,club classics,disco,instrumental
985,Chic,70s,dance,disco,funk,soul,80s,artists,classic house,american,albums
986,Nina Simone,jazz,female vocalists,blues,soul,folk,60s,best songs of the 50s,best songs of the 60s,vocal jazz,usa
987,Diana Ross,female vocalists,80s,disco,70s,motown,1992,club classics,guilty pleasures,old,other great tracks
988,The Cinematic Orchestra,jazz,chillout,downtempo,electronic,nu jazz,acid jazz,trip-hop,ninja tune,nu-jazz,lounge
989,Art of Noise,experimental,ambient,electronica,electronic,instrumental,1984 songs,pop,love,mellow,new wave and eighties
990,Scott Walker,singer-songwriter,1968,1969,60s,70s,avant garde,avant-garde,baroque pop,dissonance,funk
991,Little Brother,90s,assertive,the good stuff,sweet,superb,solid,smooth,real talk,real hip-hop,rap
992,Musiq,ballad,neo-soul,urban,tweet,soul,smooth,rnb,rhythmalizm,piano,mya
993,Grace Jones,cover,80s,disco,funk,trevor horn,subliminal,pop,new wave,miss grace jones,love
994,Teena Marie,80s,soul,90s,american,ballad,diva,female,female vocalist,female vocalists,funk
995,Red,rock,christian rock,hard rock,alternative rock,alternative,christian,diego,diego 12,favorite bands and artists,favorites
996,blessthefall,post-hardcore,screamo,emocore,metalcore,american,christian,emo,hardcore,melodic hardcore,post hardcore
997,Breaking Benjamin,rock,alternative rock,hard rock,alternative,metal,post-grunge,alternative metal,nu metal,00s,male vocalists
998,Pillar,christian rock,christian,rock,adoracao,alternative,alternative rock,diego,diego 12,gospel,jesus
999,YUI,japanese,j-pop,female vocalists,j-rock,yui,female vocalist,japan,soundtrack,singer-songwriter,rock
1000,Thrice,rock,alternative,hardcore,metal,post-hardcore,punk,00s,2005,emo,experimental
1001,Thousand Foot Krutch,christian rock,rock,alternative,alternative rock,christian,canadian,diego,diego 12,dieo 12,gospel
1002,Jay-Z and Linkin Park,rap,hip-hop,alternative,rock,hip hop,aaliyah,nelly furtado,timbaland,sexy,punk
1003,Hollywood Undead,screamo,rap,hardcore,rapcore,emo,hip hop,hip-hop,hollywood undead,seen live,undead
1004,Yellowcard,rock,punk rock,pop punk,punk,alternative,alternative rock,00s,teen days,punk pop,pop rock
1005,Disciple,christian rock,rock,christian,adoracao,death song,diego,diego 12,favorites,fucking awesome,gospel
1006,Audioslave,rock,alternative rock,alternative,hard rock,grunge,post-grunge,us,transport,straight up modern rock,punk
1007,Hoobastank,rock,alternative rock,alternative,punk rock,punk,00s,indie,post-grunge,love,male vocalists
1008,The Frames,alternative,folk,indie,male vocalists,absofuckinglutely insane,acoustic,amazing,downright beautiful,ear sex,hatris
1009,Devo,new wave,post-punk,80s,alternative,rock,70s,party,indie,lungbutter,my favorites
1010,Split Enz,new wave,1970's,1970s,songs to listen to on a sunny day,seventies,pure aural sex,pop rock,nz rock,new zealand rock,new wave songs
1011,Fashion,1979 songs,1981 songs,1982 songs,1984 songs,british artists,fav artists,fav songs,new romantic songs,new wave artists,new wave songs
1012,XTC,new wave,post-punk,pop,alternative,british,1008,college rock,power pop,new wave songs,new wave artists
1013,Pseudo Echo,80s,pop,new wave,1984 songs,favorite tracks,synthpop artists,synthpop,rock,new wave songs,new romantic
1014,The Cars,new wave,80s,rock,alternative,classic rock,1979 songs,pop,miserable,my loving,new wave artists
1015,Midnight Oil,alternative,rock,80s,alternative rock,australian rock,1979 songs,life on mars,seen live,runaways,pure aural sex
1016,Dead or Alive,new wave,80s,pop,synthpop,dance,british,alternative,hot,my favorites,new wave and eighties
1017,Gary Numan,new wave,80s,electronic,synthpop,industrial,darkwave,1980 songs,jam hot,male vocalists,my favorites
1018,Shriekback,new wave,post-punk,1982 songs,1984 songs,1985 songs,alternative,alternative dance,british artists,fav artists,fav songs
1019,Wire,post-punk,alternative,punk,new wave,70s,1979 songs,indietronica,wake up,songs to listen to on a sunny day,shoegaze
1020,Oingo Boingo,80s,new wave,alternative,pop,1981 songs,roy,new wave songs,outsiders,part of my whole life,party
1021,Sparks,new wave,synth pop,american,electronic,pop,rock,proto-punk,scholes song,progressive rock,nejlepsi
1022,Thomas Dolby,new wave,80s,synthpop,alternative,synth pop,industrial,instrumentals,male vocalists,political,science
1023,Eurythmics,80s,new wave,pop,synthpop,female vocalists,synth pop,dance,uk,new romantic,90s
1024,Yellow Magic Orchestra,1979 songs,1980 songs,new wave songs,new wave,japanese,fav songs,fav artists,electropop,electronic songs,electronic
1025,Visage,80s,new wave,new romantic,synthpop,synth pop,1980 songs,oldies,my favorit music,new romantic songs,new romantics
1026,Magazine,post-punk,80s,new wave,1979 songs,1981 songs,blitz playlist,british,british artists,fav artists,fav songs
1027,John Foxx,new wave,80s,electronic,new romantic,ambient,synthpop,00s,john foxx,male vocalists,modern-classic
1028,Landscape,1979 songs,1981 songs,1982 songs,1983 songs,80s,blitz playlist,british artists,electronic,fav artists,instrumentals
1029,Scritti Politti,80s,new wave,pop,british artists,dance-pop,famous persons,fav artists,guilty pleasures,new wave artists,post-punk
1030,Yello,80s,synth pop,new wave,electronic,1983 songs,kick ass,things you should be ashamed of,synthpop,swiss,pop
1031,They Might Be Giants,alternative,1986 songs,lungbutter,songs for gil,seen live,robots,pop,new wave artists,marisa mix,indie pop
1032,New Musik,synth pop,1980 songs,1981 songs,1982 songs,b-sides,british artists,electronic,fav songs,instrumentals,new wave
1033,Shinedown,rock,alternative rock,alternative,hard rock,soundtrack,00s,american,awesome,ballads,beautiful
1034,The 69 Eyes,gothic rock,gothic metal,finnish,gothic,horror metal,suomi,seen live,rock and roll,rock,my fav songs
1035,동방신기,<3,amazing,dance,guilty pleasure,heart,j-pop,k-pop,korean,korean music,kpop
1036,HIGH and MIGHTY COLOR,japanese,j-rock,female vocalists,j-pop,alternative,pop,rock,anime,fantastic lyrics,female vocalist
1037,Rie fu,j-pop,japanese,singer-songwriter,2009,female vocalists,indie pop,jpop,piano,pop,quirky
1038,ASIAN KUNG-FU GENERATION,j-rock,japanese,alternative,rock,a town in blue,alternative rock,awesome,indie,indie rock,j rock indie
1039,Adele,soul,female vocalists,singer-songwriter,british,indie,piano,acoustic,jazz,chillout,pop
1040,Solange,rnb,hip-hop,pop,aaliyah,missy elliott,urban,underrated,tweet,timbaland,soul
1041,Jennifer Hudson,rnb,soul,female vocalists,cover,2008,soundtrack,powerfull voices,piano,jazz,female vocalist
1042,Michelle Williams,rnb,soul,pop,gospel,female vocalists,urban,female vocalist,dance,female,amazing
1043,Gnarls Barkley,soul,alternative,funk,pop,hip-hop,00s,dance,songs that remind me of summer 07-08,songs that make you want to sing along,smile
1044,Flying Lotus,downtempo,hip-hop,electronic,instrumental hip-hop,instrumental,experimental,electronica,trip-hop,idm,chillout
1045,The Mountain Goats,best song ever written,coffeeshop,driving victory,favorite band,folk,heard on pandora,heretics,indie,indie luv,love
1046,Daedelus,idm,ninja tune,chillout,electronic,electronica,experimental,ambient,instrumental,trip-hop,lounge
1047,Madlib,hip-hop,instrumental,jazz,stones throw,underground hip-hop,electronic,funk,future soul,hip hop instrumental,in the chillwave family
1048,Neutral Milk Hotel,indie rock,indie,lo-fi,alternative,folk,acoustic,indie pop,singer-songwriter,songs to download later,rock
1049,Okkervil River,alternative,folk,indie,alt-country,indie rock,bi daha dinlicem,cover,day,daytrotter,lo-fi
1050,Madvillain,hip-hop,rap,underground hip-hop,00s,hip hop/rap,indie rap,mf doom,old school,stones throw,underground hip hop
1051,Raekwon,hip-hop,90s,new york shit,tight,street music,sick,real hip-hop,raw,rap,phat
1052,Yeasayer,psychedelic,experimental,indie rock,seen live,folk,indie,psychedelic rock,psychedelic pop,new weird america,lovely
1053,Pavement,indie,indie rock,alternative,post-punk,noise pop,lo-fi,90s,experimental,anti-folk,singer-songwriter
1054,The Flaming Lips,alternative rock,psychedelic,indie rock,rock,alternative,experimental,dreamy,indie,seen live,rock me babe
1055,Deerhunter,shoegaze,beautiful,indie,psychedelic,10s,4ad,alternative,electronic,experimental,indie rock
1056,Four Tet,idm,experimental,electronic,instrumental,electronica,downtempo,jazz,ambient,trip-hop,techno
1057,Someone Still Loves You Boris Yeltsin,indie pop,rock,complete sentences,driving victory,extraordinary band names,happygoodfunandhandclaps,indie,the fact that this is the name of a band makes me want to check their music out even though i do not care much for indie pop,wake up,whimsical
1058,Prefuse 73,idm,trip-hop,electronic,electro,hip hop,ambient,abstract hip hop,headphones,warp,techno
1059,Laura Marling,female vocalists,folk,indie,singer-songwriter,acoustic,british,lovely,riot grrl,relaxing,relax
1060,Rage Against the Machine,alternative,rock,alternative rock,metal,90s,nu metal,hard rock,seen live,alternative metal,rapcore
1061,O.S.T.R.,hip-hop,hip hop,polish,rap,2008,ja tu tylko sprzatam,male vocalists,pl,poland,polish hip-hop
1062,The Black Keys,blues rock,rock,indie rock,blues,garage rock,indie,alternative,alternative rock,american,male vocalists
1063,The Raconteurs,alternative,rock,indie rock,alternative rock,indie,00s,cover,cute,fucking awesome,genius
1064,Cypress Hill,hip-hop,rap,90s,alternative,80s,beats,crazy,dope,egzamin,gangsta rap
1065,Czesław Śpiewa,alternative,polish,folk,bi daha dinlicem,bu grubu hic duymamistim,czesiek,experimental,poetry,sad,sentimental
1066,Kult,rock,polish,polish rock,punk rock,seen live,alternative,alternative rock,punk,80s,acoustic
1067,The Knife,electronic,synthpop,swedish,indie,electro,dance,female vocalists,experimental,sexy,myupbeats
1068,Pidżama Porno,punk rock,polish,punk,seen live,alternative,alternative rock,male vocalists,polish punk,polish rock,rock
1069,Chris Cornell,alternative,rock,grunge,alternative rock,singer-songwriter,james bond,cover,pop,007,missy elliott
1070,The Subways,indie,indie rock,rock,alternative,british,garage rock,alternative rock,seen live,acoustic,male vocalists
1071,Fever Ray,electronic,ambient,chillout,female vocalists,downtempo,trip-hop,poetry,polecane,psychedelic,abyss
1072,King Diamond,heavy metal,metal,beatiful,good stuff,grandmaaaaaaaaaa,hail to the king,halloween,hard rock,play this loud enough to raise the dead,power metal
1073,Devin Townsend,progressive metal,metal,progressive rock,experimental,alternative,intergalactic space pope,progressive,professional,metal for fish,i am canadian
1074,Pain of Salvation,progressive metal,progressive rock,progressive,prog metal,00s,swedish,seen live,progressive folk metal,neo-progressive metal,80s
1075,DragonForce,power metal,heavy metal,metal,speed metal,extreme power metal,british,dragonforce,epic,impressive,seen live
1076,Blue Öyster Cult,hard rock,classic rock,progressive rock,rock,70s,80s,1008,bi daha dinlicem,fucking epic,good memories
1077,Lacuna Coil,gothic metal,gothic,metal,female vocalists,female fronted metal,rock,gothic rock,female vocalist,hans,rock hard
1078,September,dance,electronic,pop,female vocalists,house,swedish,electronica,<3,remix,progressive rock
1079,Stacie Orrico,rnb,pop,female vocalists,amazing,singer-songwriter,christian,female vocalist,inspirational,summer song,soul searching
1080,Leighton Meester,gossip girl,pop,female vocalists,dance,leighton meester,diva,<3,electropop,love,latin pop
1081,Victoria Beckham,2000s,bitch,british,cool,dance,fashion,female vocalists,latin,pop covers,sexy
1082,Melanie C,british,female vocalists,pop,dance,rock,female vocalist,2006,indie,trance,spice
1083,Gloria Estefan,80s,latin,pop,female vocalists,90s,disco,party,listened more than 10 times in a row,latin pop,guilty pleasures
1084,Emma Bunton,british,female vocalists,sexy,pop,90s,love,singer-songwriter,seen live,ricaaa,girl power
1085,Simon Curtis,electronic,pop,alternative,male vocalist,singer-songwriter,dance,hot,male vocalists,sweet,rnb
1086,The Residents,experimental,avant garde,avant-garde,80s,po-kraftwerkski,nejlepsi,new beat,ogonj,ohm sweet ohm,oni pout
1087,Frankie Goes to Hollywood,80s,new wave,cover,pop,synthpop,synth pop,british,touching song,rock,xmas
1088,Madness,ska,80s,new wave,british,pop,ska revival,tony,simon,songs,titans
1089,Coil,industrial,experimental,ambient,dark ambient,electronic,noise,touching song,the beowulfs choice,scholes song,psychedelic
1090,Bee Gees,70s,pop,disco,classic rock,oldies,love,love songs,mellow,miserable,my choice
1091,Tuxedomoon,electroclash ingredients,experimental,new wave,ogonj,ohm sweet ohm,oni pout,post-punk,scholes song,the beowulfs choice,tuxedomoon
1092,Deutsch Amerikanische Freundschaft,german,industrial,electronic,ambient,80s,ebm,new wave,ogonj,rock,psychedelic
1093,[:SITD:],dark electro,ebm,industrial,electronic,german,electro-industrial,futuremelon,rave,synthpop,terrorbanana
1094,Cabaret Voltaire,industrial,electronic,experimental,ebm,alternative,fav songs,sheffield,psychosis,post-punk,po-kraftwerkski
1095,Sarah Brightman,female vocalists,classical,pop,opera,new age,chillout,soundtrack,ethereal,beautiful,dance
1096,Andrea Bocelli,classical,italian,opera,male vocalists,autumn,clasica,classic,covers,easy listening,female vocalists
1097,Il Divo,classical,boyband,caruso,christmas,classical - pop,classical crossover,covers,easy listening,italian,opera
1098,Josh Groban,male vocalists,ballad,pop opera,pop,easy listening,2010,love at first listen,souls,secret garden,sad
1099,Cristian Castro,1992,1993,1997,1999,2001,2003,90s,good old times,great memories with my siss,great moments at et7
1100,Vanessa-Mae,instrumental,female vocalists,africa,amor,classic,classical,covers,electronic,love,maghreb
1101,In This Moment,metalcore,metal,female vocalists,melodic metalcore,00s,alternative metal,female fronted metal,female vocalist,hard rock,american
1102,Vasco Rossi,italian,rock,80s,90s,cantautore,cantautori,italian rock,male vocalists,pop,rock italiano
1103,Gregorian,ambient,new age,gregorian,chillout,00s,fascinating,special,melancholy,medieval,love
1104,NX Zero,emo,hardcore,rock,brazilian,emocore,pop rock,alternative rock,brincando de ser taking back sunday,brazilian rock,foda
1105,Marjorie Estiano,female vocalists,brasil,pop,brazilian,00s,teen pop,sentimental,rock,pop rock,mpb
1106,M.I.A.,electronic,hip-hop,dance,indie,female vocalists,alternative,hip hop,party,electro,love
1107,Perfume,japanese,j-pop,cute,dance,electropop,2009,female vocalists,pure love,pop,japan
1108,티아라,dance,electropop,female vocalists,k-pop,2009,addictive,catchy,dance-pop,electronic,korean
1109,4minute,k-pop,female vocalists,korean,dance-pop,dirrty,electropop,j-pop,korea,kpop,make me crazy
1110,소녀시대,pop,k-pop,korean,female vocalists,dance,kpop,2010,snsd,sexy,myfavorites-singers
1111,BoA,j-pop,k-pop,female vocalists,korean,pop,dance,electronic,female,sexy,rnb
1112,Brown Eyed Girls,korean,female vocalists,rnb,kpop,asian,k-pop,guilty pleasure,pop,hot,hip-hop
1113,Capsule,electronic,j-pop,japanese,lounge,shibuya-kei,2010,cute,dance,eargasmic,electro
1114,倖田來未,j-pop,japanese,sexy,jpop,female vocalists,pop,dance,asian,japanese music,rnb
1115,OK Go,indie,indie rock,alternative,alternative rock,rock,indie pop,sxsw2006,songs for gil,power pop,pop rock
1116,The Turtles,60s,classic rock,oldies,1966,love songs,surf rock,sunshine pop,rock n roll,psychedelic rock,psychedelic
1117,The Rascals,indie,british,rock,indie rock,the rascals,blue-eyed soul,britpop,indierock,morning,new jersey
1118,Brandon Flowers,alternative rock,rock,indie,indie rock,singer-songwriter,sexy,alternative,2010,male vocalist,seen live
1119,Dirty Pretty Things,indie,indie rock,british,alternative,tambourine,songs that have whoo in them,songs i sing in the shower,rock,post-punk,like crack for my soul
1120,Dizzee Rascal,british,choon,dance,electronic,england,garage,grime,hip-hop,male vocalists,party
1121,Julian Casablancas,indie,alternative,rock,electronic,singer-songwriter,sexy,indie rock,<3,the vampire diaries,synth pop
1122,Serge Gainsbourg,french,chanson francaise,pop,singer-songwriter,jazz,french pop,chanson,france,originals,new wave
1123,Two Door Cinema Club,indie,electronic,alternative,british,indie rock,indie pop,synth indie rock,electropop,seen live,rock
1124,Beach House,indie pop,indie,dream pop,lo-fi,mellow,seen live,folk,experimental,psychedelic,electronic
1125,Sahara Hotnights,indie rock,swedish,alternative,female rock band,female vocalists,indie,rock,swedish rock,the best,tinosoft
1126,DevilDriver,metalcore,groove metal,death metal,thrash metal,melodic death metal,metal,epic metal,hardcore,heavy metal,neo-thrash
1127,B. Fleischmann,ambient,experimental,idm,electronic,electronica,downtempo,chillout,downbeat,indie,indietronica
1128,AFX,idm,electronica,experimental,electronic,ambient,minimal,tron,trance,rave,psybient
