,Artista,rock,pop,alternative,electronic,indie,female vocalists,80s,dance,alternative rock,classic rock
1266,Cool Kids of Death,0,0,0,0,0,0,0,0,1,0
1267,Cypress Hill,0,0,1,0,0,0,1,0,0,0
1268,Czesław Śpiewa,0,0,1,0,0,0,0,0,0,0
1269,Kult,1,0,1,0,0,0,1,0,1,0
1270,Muchy,1,0,1,0,0,0,0,0,1,0
1271,The Knife,0,0,1,1,1,1,0,1,0,0
1272,Pidżama Porno,1,0,1,0,0,0,0,0,1,0
1273,Chris Cornell,1,1,1,1,1,0,0,0,1,0
1274,Metronomy,0,0,0,1,0,0,0,0,0,0
1275,The Subways,1,0,1,0,1,1,0,0,1,0
1276,Fever Ray,0,0,0,1,1,1,0,0,0,0
1277,The Von Bondies,0,0,0,0,1,0,0,0,0,0
1278,Devin Townsend,0,0,1,0,0,0,0,0,0,0
1279,Spock's Beard,1,0,0,0,0,0,0,0,0,0
1280,Pain of Salvation,0,0,0,0,0,0,1,0,0,0
1281,Rampkorv,0,0,0,1,0,0,0,0,0,0
1282,Blue Öyster Cult,1,0,0,0,0,0,1,0,0,1
1283,Lacuna Coil,1,0,0,0,0,1,0,0,0,0
1284,September,0,1,0,1,0,1,0,1,0,0
1285,Stacie Orrico,0,1,0,0,0,1,0,1,0,0
1286,Leighton Meester,0,1,0,1,0,1,0,1,0,0
1287,Victoria Beckham,0,0,0,0,0,1,0,1,0,0
1288,Melanie C,1,1,0,1,1,1,0,1,0,0
1289,Gloria Estefan,0,1,0,0,0,1,1,1,0,0
1290,Emma Bunton,0,1,0,0,0,1,0,1,0,0
1291,Simon Curtis,0,1,1,1,1,0,0,1,0,0
1292,The Residents,0,0,1,0,0,0,1,0,0,0
1293,Frankie Goes to Hollywood,1,1,0,0,0,0,1,1,0,0
1294,Пикник,1,0,0,0,0,0,0,0,0,0
1295,Madness,0,1,0,0,0,0,1,0,0,0
1296,Coil,0,0,0,1,0,0,0,0,0,0
1297,Bee Gees,1,1,0,0,0,0,1,1,0,1
1298,Ska-P,0,0,0,0,0,0,1,0,0,0
1299,Deutsch Amerikanische Freundschaft,1,0,0,1,0,0,1,0,0,0
1300,[:SITD:],0,0,0,1,0,0,0,0,0,0
1301,Cabaret Voltaire,0,0,1,1,0,0,0,0,0,0
1302,Sarah Brightman,0,1,0,1,0,1,0,1,0,0
1303,Andrea Bocelli,0,0,0,0,0,1,0,0,0,0
1304,Sarah Brightman & Andrea Bocelli,0,1,1,0,0,1,0,0,0,0
1305,Il Divo,0,1,0,0,0,0,0,0,0,0
1306,Josh Groban,0,1,0,0,0,0,0,0,0,0
1307,Cristian Castro,0,1,0,0,0,0,0,0,0,0
1308,Emma Shapplin,0,1,0,0,0,1,0,0,0,0
1309,Andrew Lloyd Webber,0,0,0,0,0,1,0,0,0,0
1310,Vanessa-Mae,0,1,0,1,0,1,0,0,0,0
1311,Cirque du Soleil,0,1,0,1,0,0,0,0,0,0
1312,In This Moment,0,0,0,0,0,1,0,0,0,0
1313,Marco Antonio Solís,0,1,0,0,0,0,0,0,0,0
1314,Lara Fabian,0,1,0,0,0,1,0,0,0,0
1315,Stream of Passion,0,0,0,0,0,1,0,0,0,0
1316,Vasco Rossi,1,1,0,0,0,0,1,0,0,0
1317,Michael Giacchino,0,0,0,1,0,0,0,0,0,0
1318,Keedie,0,0,0,0,0,1,0,0,0,0
1319,Katherine Jenkins,0,0,0,0,0,1,0,0,0,0
1320,Vega 4,1,0,1,0,0,0,0,0,1,0
1321,Sissel,0,0,0,0,0,1,0,0,0,0
1322,NX Zero,1,0,0,0,0,0,0,0,1,0
1323,Dev,0,1,0,1,0,0,0,0,0,0
1324,Marjorie Estiano,1,1,1,0,0,1,0,0,1,0
1325,M.I.A.,0,1,1,1,1,1,0,1,0,0
1326,DJ Earworm,0,0,0,1,0,0,0,1,0,0
1327,The Cataracs,0,0,0,1,0,0,0,0,0,0
1328,Perfume,0,1,0,1,0,1,0,1,0,0
1329,티아라,0,1,0,1,0,1,0,1,0,0
1330,4minute,0,0,0,0,0,1,0,0,0,0
1331,소녀시대,0,1,0,0,0,1,0,1,0,0
1332,BoA,0,1,1,1,0,1,1,1,0,0
1333,Aira Mitsuki,0,0,0,0,0,0,0,1,0,0
1334,exist†trace,0,0,0,0,0,1,0,0,0,0
1335,Brown Eyed Girls,0,1,0,1,0,1,0,1,0,0
1336,Kara,0,1,0,0,0,1,0,0,0,0
1337,윤하,0,1,0,0,0,1,0,0,0,0
1338,Capsule,0,0,0,1,0,0,0,1,0,0
1339,倖田來未,0,1,0,1,0,1,0,1,0,0
1340,ルルティア,0,0,0,0,0,1,0,0,0,0
1341,heidi.,0,0,0,0,1,0,0,0,0,0
1342,Kalafina,0,0,0,0,0,1,0,0,0,0
1343,immi,0,0,0,1,0,0,0,0,0,0
1344,OK Go,1,1,1,1,1,0,0,1,1,0
1345,Alex Turner,1,0,0,0,1,0,0,0,0,0
1346,Darwin Deez,0,1,0,1,1,0,0,0,0,0
1347,The Turtles,0,0,0,0,0,0,0,0,0,1
1348,The Rascals,1,1,0,0,1,0,0,0,0,0
1349,Royal Republic,1,0,0,0,0,0,0,0,0,0
1350,Brandon Flowers,1,0,1,0,1,0,0,0,1,0
1351,Dirty Pretty Things,1,0,1,0,1,0,0,0,0,0
1352,Dizzee Rascal,0,0,0,1,0,0,0,1,0,0
1353,Milburn,0,0,0,0,1,0,0,0,0,0
1354,Julian Casablancas,1,1,1,1,1,0,0,0,0,0
1355,Serge Gainsbourg,1,1,0,1,0,0,1,0,0,0
1356,Two Door Cinema Club,1,1,1,1,1,0,0,1,1,0
1357,Memorial Beach,0,1,1,1,1,0,1,0,0,0
1358,Beach House,0,0,0,1,1,1,0,0,0,0
1359,Sahara Hotnights,1,0,1,0,1,1,0,0,0,0
1360,DevilDriver,1,0,0,0,0,0,0,0,0,0
1361,B. Fleischmann,0,0,0,1,1,0,0,0,0,0
1362,AFX,0,0,0,1,0,0,0,0,0,0
1363,Booka Shade,0,0,1,1,0,0,0,0,0,0
1364,Fightstar,1,0,1,0,0,0,0,0,1,0
1365,Jane Air,0,0,1,0,0,0,0,0,1,0
1366,Mujuice,0,0,0,1,0,0,0,0,0,0
1367,Architect,0,0,0,1,0,0,0,0,0,0
1368,Fink,0,0,0,0,1,0,0,0,0,0
1369,American Head Charge,0,0,1,0,0,0,0,0,0,0
1370,edIT,0,0,0,1,0,0,0,0,0,0
1371,Etta James,0,1,0,0,0,1,1,0,0,0
1372,Michael Bublé,1,1,0,0,0,0,0,0,0,1
1373,50 Cent,0,0,0,0,0,0,0,1,0,0
1374,Lisa Marie Presley,1,1,1,0,0,1,0,0,0,0
1375,Heart,1,1,0,0,0,1,1,1,0,1
1376,Maysa,1,0,0,0,0,1,0,0,0,0
1377,We Butter The Bread With Butter,0,0,0,1,0,0,0,0,0,0
1378,Abandon All Ships,0,0,0,1,0,0,0,0,0,0
1379,Of Mice & Men,0,0,0,1,0,0,0,0,0,0
1380,Chevelle,1,0,1,0,0,0,0,0,1,0
1381,It Dies Today,1,0,0,0,0,0,0,0,0,0
1382,Attack Attack!,0,0,0,1,0,0,0,0,0,0
1383,Aaliyah,0,1,0,0,0,1,0,1,0,0
1384,Big Moves,0,0,0,0,1,1,0,0,0,0
1385,Land of Talk,1,0,0,0,0,1,0,0,0,0
1386,Simon & Garfunkel,1,0,1,0,0,0,0,0,0,1
1387,Dirty Projectors,0,0,0,0,1,0,0,0,0,0
1388,The Octopus Project,0,0,0,0,1,0,0,0,0,0
1389,Death from Above 1979,1,0,1,1,1,0,0,0,0,0
1390,Tera Melos,0,0,0,0,1,0,0,0,0,0
1391,Pedro the Lion,1,0,0,0,1,0,0,0,0,0
1392,Feist,1,1,1,0,1,1,0,0,0,0
1393,The Microphones,0,0,0,0,1,0,0,0,0,0
1394,The Apples in Stereo,0,1,0,0,0,0,0,0,0,0
1395,Deerhoof,1,1,1,0,1,1,0,0,0,0
1396,The American Analog Set,0,0,1,0,0,0,0,0,0,0
1397,Stereolab,0,1,0,1,1,0,0,0,0,0
1398,No Kids,0,1,0,0,0,0,0,0,0,0
1399,Apostle of Hustle,1,1,1,0,1,0,0,0,0,0
1400,Ajda Pekkan,0,1,0,0,0,1,0,0,0,0
1401,Haris Alexiou,0,0,0,0,0,1,0,0,0,0
1402,Barış Manço,1,0,0,0,0,0,1,0,0,0
1403,Hande Yener,0,1,0,1,0,1,0,0,0,0
1404,Amália Rodrigues,0,0,0,0,0,1,0,0,0,0
1405,Mor ve Ötesi,1,0,1,0,0,0,0,0,1,0
1406,Sertab Erener,0,0,0,0,0,1,0,0,0,0
1407,Umay Umay,0,0,1,0,0,0,0,0,0,0
1408,Yasmin Levy,0,0,0,0,0,1,0,0,0,0
1409,Şebnem Ferah,1,0,0,0,0,1,0,0,1,0
1410,Teoman,1,0,1,0,0,0,0,0,1,0
1411,Marissa Nadler,0,0,0,0,0,1,0,0,0,0
1412,Twisted Sister,1,0,0,0,0,0,1,0,0,1
1413,Dio,1,0,0,0,0,0,1,0,0,1
1414,KISS,1,1,0,0,0,0,1,0,0,1
1415,Aerosmith,1,0,1,0,1,0,1,0,0,1
1416,Van Halen,1,0,0,0,0,0,1,0,0,1
1417,Desperado,0,0,1,0,0,0,0,0,0,0
1418,Hollywood Rose,0,0,0,0,0,0,1,0,0,0
1419,Buckcherry,1,0,1,0,0,0,0,0,1,0
1420,Joan Jett,1,0,0,0,0,1,1,0,0,1
1421,Creed,1,0,1,0,0,0,0,0,1,1
1422,Pariisin Kevät,0,1,0,0,0,0,0,0,0,0
1423,Michael Monroe,1,0,0,0,0,0,0,0,0,0
1424,The Wildhearts,0,0,0,0,0,0,0,0,1,0
1425,Uniklubi,1,0,0,0,0,0,0,0,0,0
1426,Airbourne,1,0,0,0,0,0,0,0,0,1
1427,D-A-D,1,0,0,0,0,0,1,0,0,0
1428,Monster Magnet,1,0,0,0,0,0,0,0,1,0
1429,The Hellacopters,1,0,0,0,0,0,0,0,0,0
1430,Karnivool,1,0,1,0,0,0,0,0,1,0
1431,Type O Negative,1,0,0,0,0,0,0,0,0,0
1432,Backyard Babies,1,0,0,0,0,0,0,0,0,0
1433,Danko Jones,1,0,0,0,0,0,0,0,1,0
1434,Primus,1,0,1,0,0,0,0,0,1,0
1435,Jenni Vartiainen,0,0,1,0,0,1,0,0,0,0
1436,Sara,1,0,0,0,0,0,0,0,1,0
1437,Godsmack,1,0,1,0,1,0,0,0,0,0
1438,Amatory,0,0,1,0,0,1,0,0,1,0
1439,Flaw,1,0,0,0,0,0,0,0,1,0
1440,Mónica Naranjo,0,1,1,0,0,1,0,1,0,0
1441,Alejandra Guzmán,1,1,1,0,0,1,0,0,0,0
1442,LeToya,0,1,0,0,0,1,0,0,0,0
1443,Celia Cruz,0,0,0,0,0,1,0,0,0,0
1444,Chayanne,0,1,0,0,0,0,1,0,0,0
1445,Yuri,0,0,0,0,0,1,1,0,0,0
1446,Final Fantasy,0,0,0,0,1,0,0,0,0,0
1447,Xiu Xiu,0,0,0,1,1,0,0,0,0,0
1448,TV on the Radio,1,0,1,0,1,0,0,0,0,0
1449,Stars,0,1,1,1,1,0,0,0,0,0
1450,Destroyer,0,0,1,0,1,0,0,0,0,0
1451,The Ghost is Dancing,0,0,1,0,0,0,0,0,0,0
1452,Built to Spill,0,0,1,0,1,0,0,0,1,0
1453,The Fiery Furnaces,1,0,0,0,1,0,0,0,0,0
1454,Billie Holiday,0,0,0,0,0,1,0,0,0,0
1455,Elf Power,0,0,0,0,1,0,0,0,0,0
1456,The New Pornographers,0,0,1,0,1,0,0,0,0,0
1457,Copeland,0,0,1,0,1,0,0,0,1,0
1458,I See Stars,1,0,0,1,0,0,0,0,0,0
1459,Teddy Geiger,1,1,1,0,0,0,0,0,1,0
1460,Kyo,1,0,1,0,0,0,0,0,1,0
1461,Porcelain and the Tramps,1,0,1,1,0,1,0,0,0,0
1462,Coeur de Pirate,0,1,0,0,1,1,0,0,0,0
1463,A Cursive Memory,1,1,1,0,1,0,0,0,0,0
1464,Aloha From Hell,1,1,1,0,0,1,0,0,1,0
1465,Keith Urban,1,0,0,0,0,0,0,0,0,0
1466,Martina McBride,0,0,0,0,0,1,0,0,0,0
1467,Rascal Flatts,1,1,0,0,0,0,0,0,0,0
1468,Juanes,1,1,0,0,0,0,0,0,0,0
1469,Celtic Woman,0,0,0,0,0,1,0,0,0,0
1470,Garth Brooks,0,0,0,0,0,0,1,0,0,0
1471,Billy Joel,1,1,0,0,0,0,1,0,0,1
1472,Brooks & Dunn,0,0,0,0,1,0,0,0,0,0
1473,Josh Turner,0,0,0,0,0,0,0,1,0,0
1474,Faith Hill,0,0,0,0,0,1,0,0,0,0
1475,Nat King Cole,0,1,0,0,0,0,0,0,0,0
1476,Reik,0,1,0,0,0,0,0,0,0,0
1477,Boston,1,0,0,0,0,0,1,0,0,1
1478,Alison Krauss,0,0,0,0,0,1,0,0,0,0
1479,George Strait,0,0,0,0,0,0,1,0,0,0
1480,Peter Gabriel,1,1,1,0,0,0,1,0,0,1
1481,Throbbing Gristle,0,0,0,1,0,0,0,0,0,0
1482,Foetus,0,0,1,1,0,0,0,0,0,0
1483,Fantômas,0,0,1,0,0,0,0,0,0,0
1484,Captain Beefheart & His Magic Band,1,0,0,0,0,0,0,0,0,0
1485,Danny Elfman,0,0,0,0,0,0,1,0,0,1
1486,Suicide,0,0,0,1,0,0,0,0,0,0
1487,Peeping Tom,0,0,1,1,0,0,0,0,0,0
1488,Psychic TV,0,0,0,1,0,0,1,0,0,0
1489,Happy Mondays,1,0,1,0,0,0,0,1,0,0
1490,Public Image Ltd.,0,0,1,0,0,0,1,0,0,0
1491,The Specials,1,0,0,0,0,0,1,0,0,0
1492,Mike Patton,0,0,1,0,0,0,0,0,0,0
1493,Mr. Bungle,1,0,1,0,0,0,0,0,1,0
1494,Kid606,0,0,0,1,0,0,0,0,0,0
1495,Basshunter,0,1,0,1,0,0,0,1,0,0
1496,Scooter,0,0,0,1,0,0,0,1,0,0
1497,Nightcore,0,0,0,0,0,0,0,1,0,0
1498,Morandi,0,0,0,1,0,0,0,1,0,0
1499,Eric Prydz,0,0,0,1,0,0,0,1,0,0
1500,Lucky Twice,0,1,0,1,0,1,0,1,0,0
1501,KOTOKO,0,0,0,0,0,1,0,0,0,0
1502,Shaun Baker,0,0,0,1,0,0,0,1,0,0
1503,Agnieszka Chylińska,0,1,0,1,0,0,0,1,0,0
1504,Natalia Lesz,0,0,0,0,0,1,0,0,0,0
1505,Robyn,0,1,1,1,0,1,0,1,0,0
1506,Shaggy,0,1,0,0,0,0,0,0,0,0
1507,Spice Girls,0,1,0,0,0,1,0,1,0,0
1508,Mando Diao,1,0,1,0,1,0,0,1,1,0
1509,Kid Rock,1,0,1,0,0,0,0,0,1,0
1510,Sunrise Avenue,1,1,1,0,1,0,0,0,1,0
1511,Delorean,0,0,0,1,1,0,0,0,0,0
1512,Morrissey,1,1,1,0,1,0,1,0,1,0
1513,Super Furry Animals,1,1,1,0,1,0,0,0,1,0
1514,The Drums,0,1,1,0,1,0,0,0,1,0
1515,LCD Soundsystem,1,0,1,1,1,0,0,1,0,0
1516,Los Planetas,0,0,1,0,1,0,0,0,0,0
1517,Graham Coxon,1,0,1,0,1,0,0,0,0,0
1518,The Pains of Being Pure at Heart,1,1,0,0,1,1,0,0,0,0
1519,Beady Eye,1,0,0,0,1,0,0,0,1,0
1520,Best Coast,0,0,0,0,1,1,0,0,0,0
1521,My Bloody Valentine,1,0,1,0,1,1,0,0,1,0
1522,Lolene,0,1,0,1,0,1,0,1,0,0
1523,KT Tunstall,1,1,1,0,1,1,0,1,0,0
1524,Paula Fernandes,0,0,0,0,0,1,0,0,0,0
1525,Vanessa Carlton,1,1,0,0,0,1,0,0,0,0
1526,Wanessa,0,1,0,0,0,1,0,1,0,0
1527,Lu Alone,1,1,0,0,0,0,0,0,0,0
1528,Culture Club,0,1,1,0,0,0,1,1,0,0
1529,Bay City Rollers,1,1,0,0,0,0,0,0,0,0
1530,Hall & Oates,1,1,0,0,0,0,1,0,0,1
1531,The Power Station,1,1,0,0,0,0,1,0,1,1
1532,The Unknownn,0,0,0,1,0,0,0,0,0,0
1533,Toto,1,1,0,0,0,0,1,0,0,1
1534,Kajagoogoo,0,1,0,0,0,0,1,0,0,0
1535,Boz Scaggs,1,0,0,0,0,0,0,0,0,1
1536,Arcadia,0,1,0,0,0,0,1,0,0,0
1537,Graham Bonnet,0,0,0,0,0,0,0,0,0,1
1538,Ricki-Lee,0,0,0,0,0,1,0,0,0,0
1539,Extreme,1,0,0,0,0,0,1,0,0,1
1540,Paul Young,0,1,1,0,0,0,1,0,0,0
1541,Styx,1,0,1,0,0,0,1,0,0,1
1542,The Doobie Brothers,1,0,0,0,0,0,0,0,0,1
1543,Bananarama,0,1,0,0,0,1,1,1,0,0
1544,Minus the Bear,1,0,1,1,1,0,0,0,1,0
1545,The Fall of Troy,1,0,0,0,1,0,0,0,0,0
1546,This Town Needs Guns,0,0,1,0,1,0,0,0,0,0
1547,Idiot Pilot,0,0,0,1,1,0,0,0,0,0
1548,Biffy Clyro,1,0,1,0,1,0,0,0,1,0
1549,Foals,1,0,1,1,1,0,0,1,0,0
1550,Rogue Wave,0,0,1,0,0,0,0,0,1,0
1551,Late of the Pier,0,0,0,1,1,0,0,1,0,0
1552,The Maccabees,1,0,1,0,1,0,0,0,0,0
1553,SikTh,0,0,1,0,0,0,0,0,0,0
1554,Slash,1,0,0,0,0,0,1,0,0,0
1555,Maria Daniela Y Su Sonido Lasser,0,0,0,0,0,1,0,0,0,0
1556,Los Concorde,1,0,0,0,1,0,0,0,0,0
1557,will.i.am,0,1,0,0,0,1,0,1,0,0
1558,carla morrison,0,0,0,1,1,0,0,0,0,0
1559,We Are Scientists,1,0,1,0,1,0,0,0,1,0
1560,Mystery Jets,0,0,0,0,1,0,0,0,0,0
1561,Delphic,0,0,1,1,1,0,0,0,1,0
1562,Bonobo,0,0,0,1,0,0,0,0,0,0
1563,The Stone Roses,1,1,1,0,1,0,1,0,1,0
1564,The Script,1,1,1,0,1,0,0,0,1,0
1565,City and Colour,0,0,0,0,1,0,0,0,0,0
1566,UB40,0,1,0,0,0,0,1,0,0,0
1567,The Temper Trap,1,0,1,0,1,0,0,0,1,0
1568,The Vaccines,0,0,1,0,0,0,0,0,0,0
1569,Razorlight,1,0,1,0,1,0,0,0,1,0
1570,Cast,1,0,1,0,1,0,0,0,0,0
1571,Nouvelle Vague,0,0,0,0,1,1,0,0,0,0
1572,VersaEmerge,1,0,1,0,0,1,0,0,1,0
1573,Nightmare,1,0,0,0,0,0,0,0,0,0
1574,Frank Zappa,1,0,1,1,0,0,1,0,1,1
1575,Barenaked Ladies,0,1,1,0,0,0,0,0,0,0
1576,Ben Folds,1,0,1,0,1,0,0,0,1,0
1577,Elvis Costello,1,1,0,0,1,0,1,0,1,1
1578,Paul Simon,1,1,0,0,0,0,0,0,0,1
1579,Rufus Wainwright,1,0,1,0,1,0,0,0,0,0
1580,Elvis Costello & The Attractions,1,0,1,0,0,0,1,0,1,0
1581,Sublime,1,0,1,0,0,0,1,0,1,0
1582,Ella Fitzgerald,0,0,0,0,0,1,0,0,0,0
1583,Ben Folds Five,1,1,1,0,0,0,0,0,0,0
1584,Neko Case,0,0,1,0,1,1,0,0,0,0
1585,Calexico,0,0,1,0,1,0,0,0,0,0
1586,The Mothers of Invention,1,0,0,0,0,0,0,0,0,0
1587,Thursday,1,0,1,0,0,0,0,0,1,0
1588,Hayko Cepkin,0,0,1,0,0,0,0,0,1,0
1589,Alexander Rybak,0,1,0,0,1,0,0,0,0,0
1590,Manga,1,0,1,0,0,0,0,0,0,0
1591,Bilal Serbest,0,0,0,1,0,0,0,0,1,0
1592,The Classic Crime,1,0,1,0,1,0,0,0,1,0
1593,A Rocket to the Moon,1,1,0,1,1,0,0,0,0,0
1594,Sonohra,1,1,0,0,0,0,0,0,0,0
1595,Studio 3,1,1,0,0,0,0,0,0,0,0
1596,Modà,1,1,0,0,0,0,0,0,1,0
1597,Bidê ou Balde,1,1,1,0,0,0,0,0,0,0
1598,Anberlin,1,0,1,0,1,0,0,0,1,0
1599,Lost,1,1,0,0,0,0,0,0,0,0
1600,Lordi,1,0,1,0,0,0,0,0,0,0
1601,The Cab,0,0,1,0,0,0,0,0,0,0
1602,This Providence,0,0,1,0,1,0,0,0,1,0
1603,The Flashbulb,0,1,0,1,0,0,0,0,0,0
1604,Amon Tobin,0,0,0,1,0,0,0,0,0,0
1605,µ-Ziq,0,0,0,1,0,0,0,0,0,0
1606,Kettel,0,0,0,1,0,0,0,0,0,0
1607,Clark,0,0,0,1,0,0,0,0,0,0
1608,Plaid,0,0,0,1,0,0,0,1,0,0
1609,Boxcutter,0,0,0,1,0,0,0,0,0,0
1610,Ellen Allien & Apparat,0,0,0,1,0,0,0,0,0,0
1611,Tycho,0,0,0,1,0,0,0,0,0,0
1612,Bola,0,0,0,1,0,0,0,0,0,0
1613,Bong-Ra,0,0,0,1,0,0,0,0,0,0
1614,Shitmat,0,0,0,1,0,0,0,0,0,0
1615,Acrnym,0,0,0,1,0,0,0,0,0,0
1616,The Future Sound of London,0,0,0,1,0,0,0,1,0,0
1617,Stendeck,0,0,0,1,0,0,0,0,0,0
1618,Wagon Christ,0,0,0,1,0,0,0,0,0,0
1619,Telefon Tel Aviv,0,0,0,1,1,0,0,0,0,0
1620,belladonnakillz,0,0,0,1,0,0,0,0,0,0
1621,Public Enemy,0,0,0,0,0,0,1,0,0,0
1622,Bondage Fairies,0,0,0,1,0,0,0,1,0,0
1623,The Rapture,1,0,1,1,1,0,0,1,0,0
1624,Parov Stelar,0,0,0,1,0,0,0,0,0,0
1625,Firebrand Boy,0,0,0,1,0,0,0,0,0,0
1626,Bonaparte,0,0,0,0,0,0,0,1,0,0
1627,DJ Shadow,0,0,1,1,0,0,0,0,0,0
1628,64revolt,0,0,0,1,0,0,0,0,0,0
1629,Rotator,0,0,0,1,0,0,0,0,0,0
1630,8[bit]chyfruit,0,0,0,1,0,0,0,0,0,0
1631,Gidropony,0,0,0,1,0,0,0,0,0,0
1632,Uoki-Toki,0,0,0,1,0,0,0,0,0,0
1633,Neuro Dubel,1,0,0,0,0,0,0,0,0,0
1634,Ляпис Трубецкой,1,0,0,0,0,0,0,0,0,0
1635,Bloodhound Gang,1,0,1,0,1,0,0,0,1,0
1636,N.R.M.,1,0,0,0,0,0,0,0,0,0
1637,Steppenwolf,1,0,0,0,0,0,0,0,0,1
1638,Ногу Свело!,1,0,0,0,0,0,0,1,0,0
1639,Robert Miles,0,0,0,1,0,0,0,1,0,0
1640,Дельфин,0,0,1,1,0,0,0,0,0,0
1641,dredg,1,0,1,0,1,0,0,0,1,0
1642,Lita Ford,1,0,0,0,0,1,1,1,0,0
1643,Vixen,1,0,0,0,0,0,1,0,0,0
1644,Lenny Kravitz,1,1,1,0,0,0,0,0,1,1
1645,Hanoi Rocks,1,0,0,0,0,0,1,0,0,0
1646,Sixx:A.M.,1,0,1,0,0,0,0,0,1,0
1647,Janis Joplin,1,0,0,0,0,1,0,0,0,1
1648,Whitesnake,1,0,0,0,0,0,1,0,0,1
1649,Joan Jett and the Blackhearts,1,0,0,0,1,1,1,1,0,1
1650,Velvet Revolver,1,0,1,0,1,0,0,0,1,0
1651,Slash's Snakepit,1,0,0,0,0,0,0,0,0,1
1652,Cheap Trick,1,0,0,0,0,0,1,0,0,1
1653,Alter Bridge,1,0,1,0,0,0,0,0,1,0
1654,Izzy Stradlin,1,0,0,0,0,0,0,0,0,1
1655,Sweet,1,0,0,0,0,0,0,1,0,1
1656,Mr. Big,1,1,0,0,0,0,1,0,0,1
1657,f(x),0,1,0,1,0,1,0,1,0,0
1658,High School Musical,0,1,0,0,0,0,0,1,0,0
1659,현아,0,1,0,0,0,1,0,1,0,0
1660,MBLAQ,0,1,0,1,0,0,0,1,0,0
1661,Claude Kelly,0,1,0,0,0,0,0,0,0,0
1662,Xploding Plastix,0,0,0,1,0,0,0,0,0,0
1663,Little Barrie,0,0,0,0,1,0,0,0,0,0
1664,Maxïmo Park,1,0,1,0,1,0,0,0,1,0
1665,The Bloody Beetroots,0,0,0,1,0,0,0,1,0,0
1666,Plastician,0,0,0,1,0,0,0,0,0,0
1667,Sakura,0,0,0,0,1,0,0,0,1,0
1668,The Dead Weather,1,0,1,0,0,1,0,0,1,0
1669,Eagles of Death Metal,1,0,0,0,0,0,0,0,1,0
1670,Paul Kalkbrenner,0,0,0,1,0,0,0,0,0,0
1671,The White Trainers Community,0,0,0,0,1,0,0,0,0,0
1672,Flobots,0,0,1,0,1,0,0,0,0,0
1673,Kap Bambino,0,0,0,1,1,0,0,0,0,0
1674,The Dust Brothers,0,0,0,1,0,0,1,1,0,0
1675,Lynyrd Skynyrd,1,0,0,0,0,0,0,0,0,1
1676,Serj Tankian,1,0,1,0,0,0,0,0,1,0
1677,Scars on Broadway,1,0,1,0,0,0,0,0,1,0
1678,Manowar,0,0,0,0,0,0,1,0,0,0
1679,Automatic Loveletter,1,0,1,0,1,1,0,0,0,0
1680,Dashboard Confessional,1,0,1,0,1,0,0,0,1,0
1681,Gym Class Heroes,0,1,1,0,1,0,0,0,0,0
1682,Stevie Ray Vaughan,1,0,0,0,0,0,1,0,0,1
1683,Trapt,1,0,1,0,0,0,0,0,1,0
1684,Closure In Moscow,1,0,1,0,0,0,0,0,0,0
1685,Nonpoint,0,0,0,0,0,0,1,0,0,0
1686,Ultraje a Rigor,1,0,1,0,0,0,1,0,1,0
1687,The Scorpions,1,0,0,0,0,0,1,0,0,1
1688,Underoath,1,0,1,0,0,0,0,0,0,0
1689,Powerman 5000,1,0,1,0,0,0,0,0,0,0
1690,Jim Sturgess,1,1,0,0,0,0,0,0,0,0
1691,Thin Lizzy,1,0,0,0,0,0,1,0,0,1
1692,Free,1,0,0,0,0,0,0,0,0,1
1693,Cream,1,0,0,0,0,0,0,0,0,1
1694,Night Ranger,1,0,0,0,0,0,1,0,0,1
1695,Donovan,1,0,0,0,0,0,0,0,0,1
1696,Jace Everett,1,0,0,0,0,0,0,0,0,0
1697,Warrant,1,0,0,0,0,0,1,0,0,1
1698,Rod Stewart,1,1,0,0,0,0,1,0,0,1
1699,Stevie Ray Vaughan and Double Trouble,1,0,0,0,0,0,1,0,0,1
1700,Canned Heat,1,0,0,0,0,0,0,0,0,1
1701,Rory Gallagher,1,0,0,0,0,0,0,0,0,1
1702,Joe Bonamassa,1,0,0,0,0,0,0,0,0,0
1703,Van Morrison,1,0,0,0,0,0,0,0,0,1
1704,Buddy Guy,1,0,0,0,0,0,0,0,0,1
1705,Humble Pie,1,0,0,0,0,0,0,0,0,1
1706,The Animals,1,0,0,0,0,0,0,0,0,1
1707,ZZ Top,1,0,0,0,0,0,1,0,0,1
1708,Buddy Holly,0,0,0,0,0,0,0,0,0,1
1709,LL Cool J,0,0,0,0,0,0,1,0,0,0
1710,Eric B. & Rakim,0,0,0,0,0,0,1,0,0,0
1711,Five Star,0,1,0,0,0,0,1,1,1,0
1712,Milk Inc.,0,0,0,1,0,1,0,1,0,0
1713,Iris,1,0,1,1,0,0,0,0,0,0
1714,A Flock of Seagulls,0,1,1,1,0,0,1,1,0,0
1715,Naked Eyes,0,1,0,0,0,0,1,0,0,0
1716,Echo & The Bunnymen,1,1,1,0,1,0,1,0,0,0
1717,JLS,1,1,0,1,0,0,0,1,0,0
1718,Dead by April,1,0,1,0,0,0,0,0,1,0
1719,Hinder,1,0,1,0,0,0,0,0,1,0
1720,Machinae Supremacy,0,0,0,1,0,0,0,0,0,0
1721,Dommin,0,0,0,0,0,0,0,0,1,0
1722,Blowsight,0,0,0,0,0,0,0,0,1,0
