,Artista,rock,pop,alternative,eletronic,indie,female vocalist,80s,dance,alternative rock,classic rock
2071,Perfume,0,1,0,1,0,1,0,1,0,0
2072,Aural Vampire,0,0,0,0,0,0,0,0,0,0
2073,Alan,0,0,0,0,0,0,0,0,0,0
2074,티아라,0,1,0,1,0,1,0,1,0,0
2075,UNLIMITS,0,0,0,0,0,0,0,0,0,0
2076,4minute,0,0,0,0,0,1,0,0,0,0
2077,소녀시대,0,1,0,0,0,1,0,1,0,0
2078,Versailles,0,0,0,0,0,0,0,0,0,0
2079,BoA,0,1,1,1,0,1,1,1,0,0
2080,Aira Mitsuki,0,0,0,0,0,0,0,1,0,0
2081,exist†trace,0,0,0,0,0,1,0,0,0,0
2082,Brown Eyed Girls,0,1,0,1,0,1,0,1,0,0
2083,Kara,0,1,0,0,0,1,0,0,0,0
2084,윤하,0,1,0,0,0,1,0,0,0,0
2085,D'espairsRay,0,0,0,0,0,0,0,0,0,0
2086,Capsule,0,0,0,1,0,0,0,1,0,0
2087,倖田來未,0,1,0,1,0,1,0,1,0,0
2088,-OZ-,0,0,0,0,0,0,0,0,0,0
2089,ルルティア,0,0,0,0,0,1,0,0,0,0
2090,Aqua Timez,0,0,0,0,0,0,0,0,0,0
2091,U-KISS,0,0,0,0,0,0,0,0,0,0
2092,태양,0,0,0,0,0,0,0,0,0,0
2093,OreSkaBand,0,0,0,0,0,0,0,0,0,0
2094,Asriel,0,0,0,0,0,0,0,0,0,0
2095,Kaya,0,0,0,0,0,0,0,0,0,0
2096,鬼束ちひろ,0,0,0,0,0,0,0,0,0,0
2097,妖精帝國,0,0,0,0,0,0,0,0,0,0
2098,heidi.,0,0,0,0,1,0,0,0,0,0
2099,아웃사이더,0,0,0,0,0,0,0,0,0,0
2100,Saori@destiny,0,0,0,0,0,0,0,0,0,0
2101,Kalafina,0,0,0,0,0,1,0,0,0,0
2102,시크릿,0,0,0,0,0,0,0,0,0,0
2103,immi,0,0,0,1,0,0,0,0,0,0
2104,ＭＡＮＮＥＱＵＩＮ,0,0,0,0,0,0,0,0,0,0
2105,IU,0,0,0,0,0,0,0,0,0,0
2106,OK Go,1,1,1,1,1,0,0,1,1,0
2107,Miles Kane,0,0,0,0,0,0,0,0,0,0
2108,Alex Turner,1,0,0,0,1,0,0,0,0,0
2109,Benjamin Biolay,0,0,0,0,0,0,0,0,0,0
2110,Darwin Deez,0,1,0,1,1,0,0,0,0,0
2111,Annoying Orange,0,0,0,0,0,0,0,0,0,0
2112,The Turtles,0,0,0,0,0,0,0,0,0,1
2113,The Rascals,1,1,0,0,1,0,0,0,0,0
2114,Royal Republic,1,0,0,0,0,0,0,0,0,0
2115,Brandon Flowers,1,0,1,0,1,0,0,0,1,0
2116,Dirty Pretty Things,1,0,1,0,1,0,0,0,0,0
2117,Dizzee Rascal,0,0,0,1,0,0,0,1,0,0
2118,Milburn,0,0,0,0,1,0,0,0,0,0
2119,Julian Casablancas,1,1,1,1,1,0,0,0,0,0
2120,Chiddy Bang,0,0,0,0,0,0,0,0,0,0
2121,Serge Gainsbourg,1,1,0,1,0,0,1,0,0,0
2122,Two Door Cinema Club,1,1,1,1,1,0,0,1,1,0
2123,Memorial Beach,0,1,1,1,1,0,1,0,0,0
2124,Beach House,0,0,0,1,1,1,0,0,0,0
2125,The Bottletop Band,0,0,0,0,0,0,0,0,0,0
2126,Bill Elm and Woody Jackson,0,0,0,0,0,0,0,0,0,0
2127,Sahara Hotnights,1,0,1,0,1,1,0,0,0,0
2128,DevilDriver,1,0,0,0,0,0,0,0,0,0
2129,Георг Корг,0,0,0,0,0,0,0,0,0,0
2130,B. Fleischmann,0,0,0,1,1,0,0,0,0,0
2131,AFX,0,0,0,1,0,0,0,0,0,0
2132,Total,0,0,0,0,0,0,0,0,0,0
2133,2H Company,0,0,0,0,0,0,0,0,0,0
2134,Booka Shade,0,0,1,1,0,0,0,0,0,0
2135,Fightstar,1,0,1,0,0,0,0,0,1,0
2136,Meshuggah,0,0,0,0,0,0,0,0,0,0
2137,Electric Birds,0,0,0,0,0,0,0,0,0,0
2138,Current Value,0,0,0,0,0,0,0,0,0,0
2139,Jane Air,0,0,1,0,0,0,0,0,1,0
2140,Psychostick,0,0,0,0,0,0,0,0,0,0
2141,Самое Большое Простое Число,0,0,0,0,0,0,0,0,0,0
2142,Christian Kleine,0,0,0,0,0,0,0,0,0,0
2143,Mujuice,0,0,0,1,0,0,0,0,0,0
2144,Дальний Свет,0,0,0,0,0,0,0,0,0,0
2145,Maroon,0,0,0,0,0,0,0,0,0,0
2146,Wisp,0,0,0,0,0,0,0,0,0,0
2147,Alarm Will Sound,0,0,0,0,0,0,0,0,0,0
2148,E-SEX-T,0,0,0,0,0,0,0,0,0,0
2149,Ovuca,0,0,0,0,0,0,0,0,0,0
2150,Enduser,0,0,0,0,0,0,0,0,0,0
2151,Architect,0,0,0,1,0,0,0,0,0,0
2152,Fink,0,0,0,0,1,0,0,0,0,0
2153,American Head Charge,0,0,1,0,0,0,0,0,0,0
2154,Dagoba,0,0,0,0,0,0,0,0,0,0
2155,Neurocoders,0,0,0,0,0,0,0,0,0,0
2156,Integral,0,0,0,0,0,0,0,0,0,0
2157,Gojira,0,0,0,0,0,0,0,0,0,0
2158,Limewax,0,0,0,0,0,0,0,0,0,0
2159,edIT,0,0,0,1,0,0,0,0,0,0
2160,Etta James,0,1,0,0,0,1,1,0,0,0
2161,Michael Bublé,1,1,0,0,0,0,0,0,0,1
2162,Katie Stevens,0,0,0,0,0,0,0,0,0,0
2163,Michael Jackson & Britney Spears,0,0,0,0,0,0,0,0,0,0
2164,50 Cent,0,0,0,0,0,0,0,1,0,0
2165,"Marc Seales, composer. New Stories. Ernie Watts, saxophone.",0,0,0,0,0,0,0,0,0,0
2166,Aaryn Doyle,0,0,0,0,0,0,0,0,0,0
2167,Lisa Marie Presley,1,1,1,0,0,1,0,0,0,0
2168,Heart,1,1,0,0,0,1,1,1,0,1
2169,Maysa,1,0,0,0,0,1,0,0,0,0
2170,ВFI,0,0,0,0,0,0,0,0,0,0
2171,Blind Witness,0,0,0,0,0,0,0,0,0,0
2172,Stick to Your Guns,0,0,0,0,0,0,0,0,0,0
2173,Bury Tomorrow,0,0,0,0,0,0,0,0,0,0
2174,Buried in Verona,0,0,0,0,0,0,0,0,0,0
2175,War of Ages,0,0,0,0,0,0,0,0,0,0
2176,More Than A Thousand,0,0,0,0,0,0,0,0,0,0
2177,Miss May I,0,0,0,0,0,0,0,0,0,0
2178,Каста,0,0,0,0,0,0,0,0,0,0
2179,The Hysteria,0,0,0,0,0,0,0,0,0,0
2180,Sarah Where Is My Tea,0,0,0,0,0,0,0,0,0,0
2181,Gallows,0,0,0,0,0,0,0,0,0,0
2182,Stan Marsh,0,0,0,0,0,0,0,0,0,0
2183,The Eyes Of A Traitor,0,0,0,0,0,0,0,0,0,0
2184,50 kreon 50,0,0,0,0,0,0,0,0,0,0
2185,We Butter The Bread With Butter,0,0,0,1,0,0,0,0,0,0
2186,Soulcount,0,0,0,0,0,0,0,0,0,0
2187,Dead Silence Hides My Cries,0,0,0,0,0,0,0,0,0,0
2188,Abandon All Ships,0,0,0,1,0,0,0,0,0,0
2189,Of Mice & Men,0,0,0,1,0,0,0,0,0,0
2190,Main-de-Gloire,0,0,0,0,0,0,0,0,0,0
2191,Chevelle,1,0,1,0,0,0,0,0,1,0
2192,The Mess,0,0,0,0,0,0,0,0,0,0
2193,Compelled to Comply,0,0,0,0,0,0,0,0,0,0
2194,It Dies Today,1,0,0,0,0,0,0,0,0,0
2195,Attack Attack!,0,0,0,1,0,0,0,0,0,0
2196,Austrian Death Machine,0,0,0,0,0,0,0,0,0,0
2197,Disdained Grace,0,0,0,0,0,0,0,0,0,0
2198,Woe Is Me,0,0,0,0,0,0,0,0,0,0
2199,The Word Alive,0,0,0,0,0,0,0,0,0,0
2200,Deception Of A Ghost,0,0,0,0,0,0,0,0,0,0
2201,Fall to the Queen,0,0,0,0,0,0,0,0,0,0
2202,Aelpéacha,0,0,0,0,0,0,0,0,0,0
2203,Mr. Criminal,0,0,0,0,0,0,0,0,0,0
2204,B.G. Knocc Out & Dresta,0,0,0,0,0,0,0,0,0,0
2205,Aaliyah,0,1,0,0,0,1,0,1,0,0
2206,Lil 1/2 Dead,0,0,0,0,0,0,0,0,0,0
2207,Bone Thugs-N-Harmony,0,0,0,0,0,0,0,0,0,0
2208,Too $hort,0,0,0,0,0,0,0,0,0,0
2209,Alkpote,0,0,0,0,0,0,0,0,0,0
2210,Seth Gueko,0,0,0,0,0,0,0,0,0,0
2211,Snoop Dogg,0,0,0,0,0,0,0,0,0,0
2212,Eazy-E,0,0,0,0,0,0,0,0,0,0
2213,Csrd,0,0,0,0,0,0,0,0,0,0
2214,DJ Quik,0,0,0,0,0,0,0,0,0,0
2215,Roi Heenok,0,0,0,0,0,0,0,0,0,0
2216,Spice 1,0,0,0,0,0,0,0,0,0,0
2217,Mr. Capone-E,0,0,0,0,0,0,0,0,0,0
2218,Booba,0,0,0,0,0,0,0,0,0,0
2219,Southcide 13,0,0,0,0,0,0,0,0,0,0
2220,Kokane,0,0,0,0,0,0,0,0,0,0
2221,Ice Cube,0,0,0,0,0,0,0,0,0,0
2222,Busta Flex,0,0,0,0,0,0,0,0,0,0
2223,Above the Law,0,0,0,0,0,0,0,0,0,0
2224,Ant Banks,0,0,0,0,0,0,0,0,0,0
2225,Unité 2 Feu,0,0,0,0,0,0,0,0,0,0
2226,Nate Dogg,0,0,0,0,0,0,0,0,0,0
2227,Wiz Khalifa,0,0,0,0,0,0,0,0,0,0
2228,Swift Guad,0,0,0,0,0,0,0,0,0,0
2229,Alborosie,0,0,0,0,0,0,0,0,0,0
2230,Yella,0,0,0,0,0,0,0,0,0,0
2231,Orelsan,0,0,0,0,0,0,0,0,0,0
2232,Dr. Dre,0,0,0,0,0,0,0,0,0,0
2233,Domino,0,0,0,0,0,0,0,0,0,0
2234,Compton's Most Wanted,0,0,0,0,0,0,0,0,0,0
2235,Lunatic,0,0,0,0,0,0,0,0,0,0
2236,N.W.A,0,0,0,0,0,0,0,0,0,0
2237,Mobb Deep,0,0,0,0,0,0,0,0,0,0
2238,Warren G,0,0,0,0,0,0,0,0,0,0
2239,Brotha Lynch Hung,0,0,0,0,0,0,0,0,0,0
2240,MC Eiht,0,0,0,0,0,0,0,0,0,0
2241,Mr. X,0,0,0,0,0,0,0,0,0,0
2242,Lil Cuete,0,0,0,0,0,0,0,0,0,0
2243,2nd II None,0,0,0,0,0,0,0,0,0,0
2244,MSJ,0,0,0,0,0,0,0,0,0,0
2245,K-Dee,0,0,0,0,0,0,0,0,0,0
2246,Les Sales Blancs,0,0,0,0,0,0,0,0,0,0
2247,Foesum,0,0,0,0,0,0,0,0,0,0
2248,Big Moves,0,0,0,0,1,1,0,0,0,0
2249,Land of Talk,1,0,0,0,0,1,0,0,0,0
2250,Simon & Garfunkel,1,0,1,0,0,0,0,0,0,1
2251,Kind of Like Spitting,0,0,0,0,0,0,0,0,0,0
2252,Maps & Atlases,0,0,0,0,0,0,0,0,0,0
2253,Dirty Projectors,0,0,0,0,1,0,0,0,0,0
2254,Page France,0,0,0,0,0,0,0,0,0,0
2255,The Octopus Project,0,0,0,0,1,0,0,0,0,0
2256,Death from Above 1979,1,0,1,1,1,0,0,0,0,0
2257,Alban Berg Quartet,0,0,0,0,0,0,0,0,0,0
2258,Tera Melos,0,0,0,0,1,0,0,0,0,0
2259,Werner Haas/Orchestre National de L'Opéra de Monte-Carlo/Alceo Galliera,0,0,0,0,0,0,0,0,0,0
2260,Werner Haas,0,0,0,0,0,0,0,0,0,0
2261,Pedro the Lion,1,0,0,0,1,0,0,0,0,0
2262,Feist,1,1,1,0,1,1,0,0,0,0
2263,Lake,0,0,0,0,0,0,0,0,0,0
2264,The Microphones,0,0,0,0,1,0,0,0,0,0
2265,The Apples in Stereo,0,1,0,0,0,0,0,0,0,0
2266,Deerhoof,1,1,1,0,1,1,0,0,0,0
2267,Born Ruffians,0,0,0,0,0,0,0,0,0,0
2268,Things People Say,0,0,0,0,0,0,0,0,0,0
2269,Broken Social Scene Presents: Brendan Canning,0,0,0,0,0,0,0,0,0,0
2270,The American Analog Set,0,0,1,0,0,0,0,0,0,0
2271,Big Weird Dutch People,0,0,0,0,0,0,0,0,0,0
2272,Dirty Projectors + Björk,0,0,0,0,0,0,0,0,0,0
2273,Django Reinhardt,0,0,0,0,0,0,0,0,0,0
2274,Stereolab,0,1,0,1,1,0,0,0,0,0
2275,Sky Larkin,0,0,0,0,0,0,0,0,0,0
2276,No Kids,0,1,0,0,0,0,0,0,0,0
2277,Bill Evans,0,0,0,0,0,0,0,0,0,0
2278,Jean-Yves Thibaudet,0,0,0,0,0,0,0,0,0,0
2279,Braid,0,0,0,0,0,0,0,0,0,0
2280,Reverie Sound Revue,0,0,0,0,0,0,0,0,0,0
2281,Joe Pass,0,0,0,0,0,0,0,0,0,0
2282,Apostle of Hustle,1,1,1,0,1,0,0,0,0,0
2283,Sezen Aksu,0,0,0,0,0,0,0,0,0,0
2284,Zeki Müren,0,0,0,0,0,0,0,0,0,0
2285,Ezginin Günlüğü,0,0,0,0,0,0,0,0,0,0
2286,Ajda Pekkan,0,1,0,0,0,1,0,0,0,0
2287,Nazan Öncel,0,0,0,0,0,0,0,0,0,0
2288,Haris Alexiou,0,0,0,0,0,1,0,0,0,0
2289,Yeni Türkü,0,0,0,0,0,0,0,0,0,0
2290,İlhan İrem,0,0,0,0,0,0,0,0,0,0
2291,Mikis Theodorakis,0,0,0,0,0,0,0,0,0,0
2292,Zülfü Livaneli,0,0,0,0,0,0,0,0,0,0
2293,Barış Manço,1,0,0,0,0,0,1,0,0,0
2294,Hande Yener,0,1,0,1,0,1,0,0,0,0
2295,Yıldız Tilbe,0,0,0,0,0,0,0,0,0,0
2296,Kostas Pavlidis,0,0,0,0,0,0,0,0,0,0
2297,Ahmet Kaya,0,0,0,0,0,0,0,0,0,0
2298,Amália Rodrigues,0,0,0,0,0,1,0,0,0,0
2299,Cem Karaca,0,0,0,0,0,0,0,0,0,0
2300,Mazhar Fuat Özkan,0,0,0,0,0,0,0,0,0,0
2301,Mor ve Ötesi,1,0,1,0,0,0,0,0,1,0
2302,Sertab Erener,0,0,0,0,0,1,0,0,0,0
2303,Nükhet Duru,0,0,0,0,0,0,0,0,0,0
2304,Nilüfer,0,0,0,0,0,0,0,0,0,0
2305,Candan Erçetin,0,0,0,0,0,0,0,0,0,0
2306,Müzeyyen Senar,0,0,0,0,0,0,0,0,0,0
2307,Zerrin Özer,0,0,0,0,0,0,0,0,0,0
2308,Baba Zula,0,0,0,0,0,0,0,0,0,0
2309,Umay Umay,0,0,1,0,0,0,0,0,0,0
2310,Mehmet Güreli,0,0,0,0,0,0,0,0,0,0
2311,Loyko,0,0,0,0,0,0,0,0,0,0
2312,Funda Arar,0,0,0,0,0,0,0,0,0,0
2313,Hümeyra,0,0,0,0,0,0,0,0,0,0
2314,Selda Bağcan,0,0,0,0,0,0,0,0,0,0
2315,Goran Bregović,0,0,0,0,0,0,0,0,0,0
2316,Yasmin Levy,0,0,0,0,0,1,0,0,0,0
2317,Zuhal Olcay,0,0,0,0,0,0,0,0,0,0
2318,Emel Sayın,0,0,0,0,0,0,0,0,0,0
2319,Levent Yüksel,0,0,0,0,0,0,0,0,0,0
2320,Françoise Atlan,0,0,0,0,0,0,0,0,0,0
2321,Erkin Koray,0,0,0,0,0,0,0,0,0,0
2322,Düş Sokağı Sakinleri,0,0,0,0,0,0,0,0,0,0
2323,Şebnem Ferah,1,0,0,0,0,1,0,0,1,0
2324,Teoman,1,0,1,0,0,0,0,0,1,0
2325,Marissa Nadler,0,0,0,0,0,1,0,0,0,0
2326,Twisted Sister,1,0,0,0,0,0,1,0,0,1
2327,Dio,1,0,0,0,0,0,1,0,0,1
2328,KISS,1,1,0,0,0,0,1,0,0,1
2329,Massacration,0,0,0,0,0,0,0,0,0,0
2330,Dee Snider,0,0,0,0,0,0,0,0,0,0
2331,Aerosmith,1,0,1,0,1,0,1,0,0,1
2332,Van Halen,1,0,0,0,0,0,1,0,0,1
2333,Desperado,0,0,1,0,0,0,0,0,0,0
2334,Hollywood Rose,0,0,0,0,0,0,1,0,0,0
2335,Buckcherry,1,0,1,0,0,0,0,0,1,0
2336,Joan Jett,1,0,0,0,0,1,1,0,0,1
2337,Creed,1,0,1,0,0,0,0,0,1,1
2338,Highway,0,0,0,0,0,0,0,0,0,0
2339,Pariisin Kevät,0,1,0,0,0,0,0,0,0,0
2340,Von Hertzen Brothers,0,0,0,0,0,0,0,0,0,0
2341,Michael Monroe,1,0,0,0,0,0,0,0,0,0
2342,The Wildhearts,0,0,0,0,0,0,0,0,1,0
2343,Uniklubi,1,0,0,0,0,0,0,0,0,0
2344,CMX,0,0,0,0,0,0,0,0,0,0
2345,Airbourne,1,0,0,0,0,0,0,0,0,1
2346,D-A-D,1,0,0,0,0,0,1,0,0,0
2347,Monster Magnet,1,0,0,0,0,0,0,0,1,0
2348,Hardcore Superstar,0,0,0,0,0,0,0,0,0,0
2349,The Hellacopters,1,0,0,0,0,0,0,0,0,0
2350,Audrey Horne,0,0,0,0,0,0,0,0,0,0
2351,Karnivool,1,0,1,0,0,0,0,0,1,0
2352,Tuvalu,0,0,0,0,0,0,0,0,0,0
2353,Animal Alpha,0,0,0,0,0,0,0,0,0,0
2354,Type O Negative,1,0,0,0,0,0,0,0,0,0
2355,Amorphis,0,0,0,0,0,0,0,0,0,0
2356,Day Eleven,0,0,0,0,0,0,0,0,0,0
2357,Backyard Babies,1,0,0,0,0,0,0,0,0,0
2358,Danko Jones,1,0,0,0,0,0,0,0,1,0
2359,Ghost Brigade,0,0,0,0,0,0,0,0,0,0
2360,Primus,1,0,1,0,0,0,0,0,1,0
2361,Jenni Vartiainen,0,0,1,0,0,1,0,0,0,0
2362,Sara,1,0,0,0,0,0,0,0,1,0
2363,Neaera,0,0,0,0,0,0,0,0,0,0
2364,Trivium,0,0,0,0,0,0,0,0,0,0
2365,Godsmack,1,0,1,0,1,0,0,0,0,0
2366,Dethklok,0,0,0,0,0,0,0,0,0,0
2367,The Crimson Armada,0,0,0,0,0,0,0,0,0,0
2368,Amatory,0,0,1,0,0,1,0,0,1,0
2369,Unearth,0,0,0,0,0,0,0,0,0,0
2370,Flaw,1,0,0,0,0,0,0,0,1,0
2371,Bleed From Within,0,0,0,0,0,0,0,0,0,0
2372,Winds of Plague,0,0,0,0,0,0,0,0,0,0
2373,Before The Torn,0,0,0,0,0,0,0,0,0,0
2374,Sea of Treachery,0,0,0,0,0,0,0,0,0,0
2375,Mónica Naranjo,0,1,1,0,0,1,0,1,0,0
2376,Alejandra Guzmán,1,1,1,0,0,1,0,0,0,0
2377,Jessie James,0,0,0,0,0,0,0,0,0,0
2378,LeToya,0,1,0,0,0,1,0,0,0,0
2379,Celia Cruz,0,0,0,0,0,1,0,0,0,0
2380,Chayanne,0,1,0,0,0,0,1,0,0,0
2381,Yuri,0,0,0,0,0,1,1,0,0,0
2382,Patricia Rivera,0,0,0,0,0,0,0,0,0,0
2383,Final Fantasy,0,0,0,0,1,0,0,0,0,0
2384,The Lovely Feathers,0,0,0,0,0,0,0,0,0,0
2385,dd/mm/yyyy,0,0,0,0,0,0,0,0,0,0
2386,The Olivia Tremor Control,0,0,0,0,0,0,0,0,0,0
2387,Xiu Xiu,0,0,0,1,1,0,0,0,0,0
2388,Chore,0,0,0,0,0,0,0,0,0,0
2389,k-os,0,0,0,0,0,0,0,0,0,0
2390,TV on the Radio,1,0,1,0,1,0,0,0,0,0
2391,They Shoot Horses Don't They,0,0,0,0,0,0,0,0,0,0
2392,Stars,0,1,1,1,1,0,0,0,0,0
2393,Destroyer,0,0,1,0,1,0,0,0,0,0
2394,Jeff Mangum,0,0,0,0,0,0,0,0,0,0
2395,The Waking Eyes,0,0,0,0,0,0,0,0,0,0
2396,The Ghost is Dancing,0,0,1,0,0,0,0,0,0,0
2397,The Music Tapes,0,0,0,0,0,0,0,0,0,0
2398,Patrick & Eugene,0,0,0,0,0,0,0,0,0,0
2399,Hugh Fraser,0,0,0,0,0,0,0,0,0,0
2400,Built to Spill,0,0,1,0,1,0,0,0,1,0
2401,The Fiery Furnaces,1,0,0,0,1,0,0,0,0,0
2402,Dan Deacon,0,0,0,0,0,0,0,0,0,0
2403,Mitch Hedberg,0,0,0,0,0,0,0,0,0,0
2404,Billie Holiday,0,0,0,0,0,1,0,0,0,0
2405,Elf Power,0,0,0,0,1,0,0,0,0,0
2406,Billie Holiday & Teddy Wilson & His Orchestra,0,0,0,0,0,0,0,0,0,0
2407,Islands,0,0,0,0,0,0,0,0,0,0
2408,Owls & Crows,0,0,0,0,0,0,0,0,0,0
2409,The New Pornographers,0,0,1,0,1,0,0,0,0,0
2410,Copeland,0,0,1,0,1,0,0,0,1,0
2411,I See Stars,1,0,0,1,0,0,0,0,0,0
2412,Teddy Geiger,1,1,1,0,0,0,0,0,1,0
2413,Kyo,1,0,1,0,0,0,0,0,1,0
2414,Architects,0,0,0,0,0,0,0,0,0,0
2415,From First to Last,0,0,0,0,0,0,0,0,0,0
2416,Luxuria,0,0,0,0,0,0,0,0,0,0
2417,Porcelain and the Tramps,1,0,1,1,0,1,0,0,0,0
2418,Coeur de Pirate,0,1,0,0,1,1,0,0,0,0
2419,A Cursive Memory,1,1,1,0,1,0,0,0,0,0
2420,Aloha From Hell,1,1,1,0,0,1,0,0,1,0
2421,Keith Urban,1,0,0,0,0,0,0,0,0,0
2422,Martina McBride,0,0,0,0,0,1,0,0,0,0
2423,Montana Skies,0,0,0,0,0,0,0,0,0,0
2424,Rascal Flatts,1,1,0,0,0,0,0,0,0,0
2425,Juanes,1,1,0,0,0,0,0,0,0,0
2426,Celtic Woman,0,0,0,0,0,1,0,0,0,0
2427,Garth Brooks,0,0,0,0,0,0,1,0,0,0
2428,Little Big Town,0,0,0,0,0,0,0,0,0,0
2429,Billy Joel,1,1,0,0,0,0,1,0,0,1
2430,Trace Adkins,0,0,0,0,0,0,0,0,0,0
2431,Howard Shore,0,0,0,0,0,0,0,0,0,0
2432,Phil Vassar,0,0,0,0,0,0,0,0,0,0
2433,Jo Dee Messina,0,0,0,0,0,0,0,0,0,0
2434,Brooks & Dunn,0,0,0,0,1,0,0,0,0,0
2435,Trisha Yearwood,0,0,0,0,0,0,0,0,0,0
2436,Josh Turner,0,0,0,0,0,0,0,1,0,0
2437,Laura Sullivan,0,0,0,0,0,0,0,0,0,0
2438,Tim McGraw,0,0,0,0,0,0,0,0,0,0
2439,Faith Hill,0,0,0,0,0,1,0,0,0,0
2440,Toby Keith,0,0,0,0,0,0,0,0,0,0
2441,Dierks Bentley,0,0,0,0,0,0,0,0,0,0
2442,Lonestar,0,0,0,0,0,0,0,0,0,0
2443,Nat King Cole,0,1,0,0,0,0,0,0,0,0
2444,Glenn Miller,0,0,0,0,0,0,0,0,0,0
2445,João Gilberto,0,0,0,0,0,0,0,0,0,0
2446,Benedetti & Svoboda,0,0,0,0,0,0,0,0,0,0
2447,Reik,0,1,0,0,0,0,0,0,0,0
2448,Boston,1,0,0,0,0,0,1,0,0,1
2449,Selena Cross,0,0,0,0,0,0,0,0,0,0
2450,Alison Krauss,0,0,0,0,0,1,0,0,0,0
2451,Vince Gill,0,0,0,0,0,0,0,0,0,0
2452,George Strait,0,0,0,0,0,0,1,0,0,0
2453,Alan Jackson,0,0,0,0,0,0,0,0,0,0
2454,Peter Gabriel,1,1,1,0,0,0,1,0,0,1
2455,Throbbing Gristle,0,0,0,1,0,0,0,0,0,0
2456,Current 93,0,0,0,0,0,0,0,0,0,0
2457,Foetus,0,0,1,1,0,0,0,0,0,0
2458,Fantômas,0,0,1,0,0,0,0,0,0,0
2459,Insane Clown Posse,0,0,0,0,0,0,0,0,0,0
2460,Captain Beefheart & His Magic Band,1,0,0,0,0,0,0,0,0,0
2461,Renaldo and The Loaf,0,0,0,0,0,0,0,0,0,0
2462,The Legendary Pink Dots,0,0,0,0,0,0,0,0,0,0
2463,Danny Elfman,0,0,0,0,0,0,1,0,0,1
2464,Twiztid,0,0,0,0,0,0,0,0,0,0
2465,Suicide,0,0,0,1,0,0,0,0,0,0
2466,The Birthday Party,0,0,0,0,0,0,0,0,0,0
2467,Whitehouse,0,0,0,0,0,0,0,0,0,0
2468,King Missile,0,0,0,0,0,0,0,0,0,0
2469,Peeping Tom,0,0,1,1,0,0,0,0,0,0
2470,Anybody Killa,0,0,0,0,0,0,0,0,0,0
2471,Psychic TV,0,0,0,1,0,0,1,0,0,0
2472,Happy Mondays,1,0,1,0,0,0,0,1,0,0
2473,Public Image Ltd.,0,0,1,0,0,0,1,0,0,0
2474,Kaada,0,0,0,0,0,0,0,0,0,0
2475,The Specials,1,0,0,0,0,0,1,0,0,0
2476,Mike Patton,0,0,1,0,0,0,0,0,0,0
2477,FM Einheit,0,0,0,0,0,0,0,0,0,0
2478,Mr. Bungle,1,0,1,0,0,0,0,0,1,0
2479,Monte Cazazza,0,0,0,0,0,0,0,0,0,0
2480,Half Japanese,0,0,0,0,0,0,0,0,0,0
2481,Kid606,0,0,0,1,0,0,0,0,0,0
2482,IOSYS,0,0,0,0,0,0,0,0,0,0
2483,Basshunter,0,1,0,1,0,0,0,1,0,0
2484,Wiklund,0,0,0,0,0,0,0,0,0,0
2485,Scooter,0,0,0,1,0,0,0,1,0,0
2486,REDALiCE,0,0,0,0,0,0,0,0,0,0
2487,Nightcore,0,0,0,0,0,0,0,1,0,0
2488,dj TAKA,0,0,0,0,0,0,0,0,0,0
2489,YMCK,0,0,0,0,0,0,0,0,0,0
2490,Bloody Vomit Bukkake,0,0,0,0,0,0,0,0,0,0
2491,Morandi,0,0,0,1,0,0,0,1,0,0
2492,初音ミク,0,0,0,0,0,0,0,0,0,0
2493,Rocco,0,0,0,0,0,0,0,0,0,0
2494,Eric Prydz,0,0,0,1,0,0,0,1,0,0
2495,반야,0,0,0,0,0,0,0,0,0,0
2496,Lucky Twice,0,1,0,1,0,1,0,1,0,0
2497,KOTOKO,0,0,0,0,0,1,0,0,0,0
2498,Millenium,0,0,0,0,0,0,0,0,0,0
2499,Shaun Baker,0,0,0,1,0,0,0,1,0,0
2500,Agnieszka Chylińska,0,1,0,1,0,0,0,1,0,0
2501,I Cavalieri del re,0,0,0,0,0,0,0,0,0,0
2502,Sonic Alive feat. Kate Lesing,0,0,0,0,0,0,0,0,0,0
2503,Natalia Lesz,0,0,0,0,0,1,0,0,0,0
2504,Robyn,0,1,1,1,0,1,0,1,0,0
2505,Shaggy,0,1,0,0,0,0,0,0,0,0
2506,Spice Girls,0,1,0,0,0,1,0,1,0,0
2507,Mando Diao,1,0,1,0,1,0,0,1,1,0
2508,Kid Rock,1,0,1,0,0,0,0,0,1,0
2509,Sunrise Avenue,1,1,1,0,1,0,0,0,1,0
2510,Delorean,0,0,0,1,1,0,0,0,0,0
2511,Morrissey,1,1,1,0,1,0,1,0,1,0
2512,Super Furry Animals,1,1,1,0,1,0,0,0,1,0
2513,The Drums,0,1,1,0,1,0,0,0,1,0
2514,Wild Nothing,0,0,0,0,0,0,0,0,0,0
2515,LCD Soundsystem,1,0,1,1,1,0,0,1,0,0
2516,Los Planetas,0,0,1,0,1,0,0,0,0,0
2517,Graham Coxon,1,0,1,0,1,0,0,0,0,0
2518,The Pains of Being Pure at Heart,1,1,0,0,1,1,0,0,0,0
2519,Beady Eye,1,0,0,0,1,0,0,0,1,0
2520,Los Punsetes,0,0,0,0,0,0,0,0,0,0
2521,Best Coast,0,0,0,0,1,1,0,0,0,0
2522,My Bloody Valentine,1,0,1,0,1,1,0,0,1,0
